,folder_name,train_rmse,train_mae,train_r2,validation_rmse,validation_mae,validation_r2,test_rmse,test_mae,test_r2
1,SPEI_CNN3D_Global_Run,1.046988606452942,0.8501827716827393,-0.10578322410583496,1.0532751083374023,0.8935320973396301,-0.2761112451553345,1.1293926239013672,0.936346709728241,-0.18167805671691895
5,SPEI_Forecasting_Global_XGBoost,0.5649329679226326,0.44342830176195486,0.6781273819010323,0.9619619807854158,0.8306899439829579,-0.06443871030912995,1.0638572313927115,0.8856865715128612,-0.04851828094846722
7,SPEI_LSTM_Global_Run,0.9956302263061474,0.8135185271430958,0.0013800343345047317,1.031030113264924,0.8529022446556446,-0.13466559639947606,0.8789852060174104,0.7956279185334157,-0.04017384751311637
9,SPEI_ConvLSTM_EncoderDecoder_Run,0.5084800720214844,0.3801058530807495,0.4083437919616699,0.45468878746032715,0.35649383068084717,0.5267890691757202,0.7987085580825806,0.6567043662071228,-0.17600023746490479
14,SPEI_SARIMA_Global_Mean,1.1441468555993024,0.8498794254897998,-0.16313596372498765,1.1986138810615612,0.9121477338681447,-0.3096451085372123,1.5290829614365942,1.0079669830059763,-0.4013724727037105
17,SPEI_XGB_Local_Mean,0.6756116099413622,0.5430079659719291,0.5012167001672082,0.871708090228822,0.7532179815501778,0.01467888649337557,1.0505152614587123,0.8867280590573052,-0.053959972029052894
20,SPEI_SARIMA_Global_Mean,1.1441468555993024,0.8498794254897998,-0.16313596372498765,1.1986138810615612,0.9121477338681447,-0.3096451085372123,1.5290829614365942,1.0079669830059763,-0.4013724727037105
23,SPEI_LSTM_Global_LocalMean,1.004485614339801,0.8167990361644064,-0.018701943474647285,0.9733570877794769,0.82357991515258,-0.0388409445343725,1.092445714303729,0.9067598750713521,-0.11106225118667198
0,SPEI_ConvLSTM-MultiTask,0.7075973083711626,0.5402377724969909,0.49291434709005577,0.8061904582751417,0.6099783689746936,0.4308711461695155,1.1689381396765328,0.9126564527113962,-0.22034885261175852
0,SPEI_ConvLSTM-SingleTask,0.6655200020805948,0.48171764628342384,0.551428988804987,0.7484899742720363,0.5528676942039756,0.5094228998722949,1.1289465728576118,0.8909584260525917,-0.1382763654156145
