,folder_name,train_rmse,train_mae,train_r2,validation_rmse,validation_mae,validation_r2,test_rmse,test_mae,test_r2
1,SPEI_CNN3D_Global_Run,1.046988606452942,0.8501827716827393,-0.10578322410583496,1.0532751083374023,0.8935320973396301,-0.2761112451553345,1.1293926239013672,0.936346709728241,-0.18167805671691895
5,SPEI_Forecasting_Global_XGBoost,0.5649329679226326,0.44342830176195486,0.6781273819010323,0.9619619807854158,0.8306899439829579,-0.06443871030912995,1.0638572313927115,0.8856865715128612,-0.04851828094846722
7,SPEI_LSTM_Global_Run,0.9956302263061474,0.8135185271430958,0.0013800343345047317,1.031030113264924,0.8529022446556446,-0.13466559639947606,0.8789852060174104,0.7956279185334157,-0.04017384751311637
9,SPEI_ConvLSTM_EncoderDecoder_Run,1.4345465862110138,1.0723715322176384,0.4083437919616699,1.2827882226465654,1.0057562448325181,0.5267890691757202,2.2533520946450687,1.8527235550196564,-0.17600023746490479
14,SPEI_SARIMA_Global_Mean,1.1441468555993024,0.8498794254897998,-0.16313596372498765,1.1986138810615612,0.9121477338681447,-0.3096451085372123,1.5290829614365942,1.0079669830059763,-0.4013724727037105
17,SPEI_XGB_Local_Mean,0.6756116099413622,0.5430079659719291,0.5012167001672082,0.871708090228822,0.7532179815501778,0.01467888649337557,1.0505152614587123,0.8867280590573052,-0.053959972029052894
20,SPEI_SARIMA_Global_Mean,1.1441468555993024,0.8498794254897998,-0.16313596372498765,1.1986138810615612,0.9121477338681447,-0.3096451085372123,1.5290829614365942,1.0079669830059763,-0.4013724727037105
23,SPEI_LSTM_Global_LocalMean,1.004485614339801,0.8167990361644064,-0.018701943474647285,0.9733570877794769,0.82357991515258,-0.0388409445343725,1.092445714303729,0.9067598750713521,-0.11106225118667198
0,SPEI_ConvLSTM-MultiTask,1.9963049861530542,1.524142822739876,0.49291434709005577,2.2744603641136045,1.72089809418969,0.4308711461695155,3.2978602506451242,2.5748269610952783,-0.22034885261175852
0,SPEI_ConvLSTM-SingleTask,0.6655200020805948,0.48171764628342384,0.551428988804987,0.7484899742720363,0.5528676942039756,0.5094228998722949,1.1289465728576118,0.8909584260525917,-0.1382763654156145
